city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Istanbul,Taxi Test,completed,2025-03-05T13:49:20.000Z,2025-03-05T13:51:37.000Z,40.998238,28.93002,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",2025-03-05T14:17:50.000Z,40.98871,28.880999,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",4.1,Turkish Lira,339.65
Istanbul,Taxi Test,completed,2025-03-03T13:55:19.000Z,2025-03-03T13:57:51.000Z,40.997913,28.929537,"Yedikule, İmrahor İlyasbey Cd. No:10, 34107 Fatih/İstanbul, Türkiye",2025-03-03T14:08:35.000Z,41.006,28.953318,"Aksaray, 34096 Fatih/İstanbul, Türkiye",1.65,Turkish Lira,180.0
Istanbul,Taxi Test,completed,2025-03-03T13:10:00.000Z,2025-03-03T13:19:11.000Z,40.9886,28.880869,"Kartaltepe, Dost Sk. No:5, 34145 Bakırköy/İstanbul, Türkiye",2025-03-03T13:35:34.000Z,40.998615,28.928148,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",4.83,Turkish Lira,348.03
Istanbul,Taxi Test,completed,2025-02-27T21:42:36.000Z,2025-02-27T21:43:57.000Z,40.99802,28.929918,"Yedikule, İmrahor İlyasbey Cd. No:10, 34107 Fatih/İstanbul, Türkiye",2025-02-27T21:55:35.000Z,40.988697,28.881,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",4.29,Turkish Lira,298.0
Istanbul,Taxi Test,completed,2025-02-27T16:36:42.000Z,2025-02-27T16:42:26.000Z,40.98783,28.88331,"Kartaltepe, Koşuyolu Cd. 47/P, 34100 Bakırköy/İstanbul, Türkiye",2025-02-27T16:55:31.000Z,40.99818,28.93008,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",4.39,Turkish Lira,290.0
Istanbul,Taxi Test,completed,2025-02-23T19:08:25.000Z,2025-02-23T19:13:09.000Z,40.9984,28.929228,"Yedikule, Hacı Manav Sk. No:8, 34107 Fatih/İstanbul, Türkiye",2025-02-23T19:25:27.000Z,40.9888,28.881083,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",4.3,Turkish Lira,291.0
Istanbul,Taxi Test,completed,2025-02-23T13:41:29.000Z,2025-02-23T13:42:55.000Z,40.987602,28.88276,"Kartaltepe, Koşuyolu Cd. 47/P, 34100 Bakırköy/İstanbul, Türkiye",2025-02-23T13:55:22.000Z,41.00552,28.937004,"Cerrahpaşa, Etyemez Tekkesi Sk. No:2, 34098 Fatih/İstanbul, Türkiye",5.84,Turkish Lira,395.0
Istanbul,Taxi Test,completed,2025-02-21T17:13:15.000Z,2025-02-21T17:15:41.000Z,41.006844,28.93482,"Cerrahpaşa, Hekimoğlu Alipaşa Cd No:123, 34098 Fatih/İstanbul, Türkiye",2025-02-21T17:34:32.000Z,40.988678,28.881025,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",5.35,Turkish Lira,348.33
Istanbul,Taxi Test,completed,2025-02-21T14:50:17.000Z,2025-02-21T14:53:01.000Z,40.98871,28.880962,"Kartaltepe, Dost Sk. No:5, 34145 Bakırköy/İstanbul, Türkiye",2025-02-21T15:14:53.000Z,41.006817,28.934893,"Cerrahpaşa, Hekimoğlu Alipaşa Cd 123 A, 34000 Fatih/İstanbul, Türkiye",5.95,Turkish Lira,405.0
Istanbul,Taxi Test,completed,2025-02-20T15:37:45.000Z,2025-02-20T15:38:59.000Z,40.99815,28.93005,"Koca Mustafapaşa, İmrahor İlyasbey Cd. No:7, 34098 Fatih/İstanbul, Türkiye",2025-02-20T15:51:19.000Z,40.98864,28.88092,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",5.27,Turkish Lira,336.0
Istanbul,Taxi Test,completed,2025-02-19T20:42:56.000Z,2025-02-19T20:50:15.000Z,40.988625,28.880905,"Kartaltepe, Dost Sk. No:5, 34145 Bakırköy/İstanbul, Türkiye",2025-02-19T21:03:29.000Z,40.99858,28.92833,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",4.98,Turkish Lira,320.0
Istanbul,Taxi Test,rider_canceled,2025-02-19T20:38:09.000Z,,40.988647,28.880945,"",,40.988647,28.880945,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",0.0,Turkish Lira,0.0
Istanbul,Taxi Test,completed,2025-02-19T14:18:25.000Z,2025-02-19T14:20:00.000Z,41.0068,28.93465,"Cerrahpaşa, Hekimoğlu Alipaşa Cd No:123, 34098 Fatih/İstanbul, Türkiye",2025-02-19T14:48:01.000Z,40.98871,28.88098,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",5.21,Turkish Lira,367.0
Istanbul,Taxi Test,completed,2025-02-17T04:49:27.000Z,2025-02-17T04:53:36.000Z,40.988644,28.880997,"Kartaltepe, Dost Sk. No:5, 34145 Bakırköy/İstanbul, Türkiye",2025-02-17T05:08:41.000Z,40.97348,28.80435,"Şenlikköy, Harman Sokaği No:48, 34153 Bakırköy/İstanbul, Türkiye",6.33,Turkish Lira,395.0
Istanbul,Taxi Test,completed,2025-02-15T14:04:44.000Z,2025-02-15T14:08:15.000Z,40.99818,28.92999,"Koca Mustafapaşa, İmrahor İlyasbey Cd. No:7, 34098 Fatih/İstanbul, Türkiye",2025-02-15T14:48:43.000Z,40.988663,28.880949,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",4.11,Turkish Lira,399.0
Istanbul,Taxi Test,completed,2025-02-14T11:50:13.000Z,2025-02-14T11:54:17.000Z,40.988674,28.880934,"Kartaltepe, Dost Sk. No:5, 34145 Bakırköy/İstanbul, Türkiye",2025-02-14T12:08:23.000Z,40.998615,28.927855,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",4.85,Turkish Lira,357.0
Istanbul,Taxi Test,completed,2025-02-11T19:17:28.000Z,2025-02-11T19:18:40.000Z,41.00679,28.93476,"Cerrahpaşa, Hekimoğlu Alipaşa Cd No:123, 34098 Fatih/İstanbul, Türkiye",2025-02-11T19:40:11.000Z,40.98867,28.88102,"Kartaltepe, Dost Sk., 34145 Bakırköy/İstanbul, Türkiye",5.91,Turkish Lira,370.0
Istanbul,Taxi Test,completed,2025-02-11T11:29:10.000Z,2025-02-11T11:31:40.000Z,41.00691,28.93493,"Cerrahpaşa, Hekimoğlu Alipaşa Cd No:123, 34098 Fatih/İstanbul, Türkiye",2025-02-11T11:38:38.000Z,40.99902,28.92654,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",0.89,Turkish Lira,180.0
Istanbul,Taxi Test,rider_canceled,2025-02-11T11:27:52.000Z,,41.006798,28.934704,"",,41.006798,28.934704,"Yedikule, Merhaba Cd. No:37, 34107 Fatih/İstanbul, Türkiye",0.0,Turkish Lira,0.0
